,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
249,9/6/20,105,Pala Airpad,06-073-1201,AQS,68,39,57,9/6/08,9/6/18
250,9/7/20,119,Pala Airpad,06-073-1201,AQS,71,38,59,9/7/08,9/7/02
251,9/8/20,104,Pala Airpad,06-073-1201,AQS,71,40,61.6,9/8/08,9/8/07
252,9/9/20,74,Pala Airpad,06-073-1201,AQS,76,31,66,9/9/15,9/9/10
253,9/10/20,92,Pala Airpad,06-073-1201,AQS,62,36,59.2,9/10/18,9/10/05
254,9/11/20,99,Donovan,06-073-1014,AQS,67,36,60.4,9/11/00,9/11/05
255,9/12/20,138,San Diego - Sherman Elementary School,06-073-1026,AQS,80,34,57.4,9/12/00,9/12/05
256,9/13/20,161,Pala Airpad,06-073-1201,AQS,80,39,50.4,9/13/00,9/13/16
257,9/14/20,172,Pala Airpad,06-073-1201,AQS,85,29,50.2,9/14/08,9/14/09
258,9/15/20,162,Pala Airpad,06-073-1201,AQS,85,15,46,9/15/08,9/15/15
259,9/16/20,163,Pala Airpad,06-073-1201,AQS,77,22,50,9/16/00,9/16/15
260,9/17/20,163,Pala Airpad,06-073-1201,AQS,75,28,53.2,9/17/08,9/17/15
261,9/18/20,124,Pala Airpad,06-073-1201,AQS,78,37,55.8,9/18/08,9/18/14
262,9/19/20,81,Donovan,06-073-1014,AQS,86,20,55.2,9/19/11,9/19/14
263,9/20/20,83,Pala Airpad,06-073-1201,AQS,77,25,56.2,9/20/01,9/20/07
264,9/21/20,79,Pala Airpad,06-073-1201,AQS,76,25,58.2,9/21/01,9/21/07
265,9/22/20,83,Pala Airpad,06-073-1201,AQS,81,20,57.8,9/22/12,9/22/07
266,9/23/20,72,Donovan,06-073-1014,AQS,80,15,58.6,9/23/02,9/23/00
267,9/24/20,80,Donovan,06-073-1014,AQS,91,23,65.6,9/24/15,9/24/00
268,9/25/20,77,Pala Airpad,06-073-1201,AQS,77,37,58.6,9/25/03,9/25/14
269,9/26/20,83,Pala Airpad,06-073-1201,AQS,99,31,58.4,9/26/03,9/26/14
270,9/27/20,82,Pala Airpad,06-073-1201,AQS,80,31,60.8,9/27/03,9/27/14
271,9/28/20,74,Pala Airpad,06-073-1201,AQS,78,24,58.8,9/28/18,9/28/02
272,9/29/20,87,Pala Airpad,06-073-1201,AQS,89,17,55,9/29/01,9/29/02
273,9/30/20,90,Donovan,06-073-1014,AQS,69,22,60.4,9/30/15,9/30/02
274,10/1/20,104,Donovan,06-073-1014,AirNow,104,28,57.6,10/1/00,10/1/02
